Date,Open,High,Low,Close,Adj Close,Volume
2016-08-15,7.250000,7.250000,7.230000,7.240000,6.779737,1703
2016-08-16,7.240000,7.250000,7.220000,7.220000,6.761008,4153
2016-08-17,7.250000,7.250000,7.230000,7.250000,6.789102,1049
2016-08-18,7.230000,7.240000,7.230000,7.240000,6.779737,1496
2016-08-19,7.230000,7.230000,7.220000,7.220000,6.761008,1348
2016-08-22,7.220000,7.230000,7.210000,7.220000,6.761008,2997
2016-08-23,7.220000,7.300000,7.220000,7.300000,6.835924,6362
2016-08-24,7.300000,7.320000,7.300000,7.300000,6.835924,2216
2016-08-25,7.280000,7.340000,7.260000,7.320000,6.854652,555
2016-08-26,7.300000,7.400000,7.300000,7.310000,6.845287,2683
2016-08-29,7.310000,7.310000,7.300000,7.310000,6.845287,1055
2016-08-30,7.350000,7.350000,7.300000,7.350000,6.882744,717
2016-08-31,7.300000,7.350000,7.300000,7.350000,6.882744,2643
2016-09-01,7.350000,7.350000,7.300000,7.300000,6.835924,5766
2016-09-02,7.300000,7.350000,7.300000,7.350000,6.882744,2657
2016-09-05,7.400000,7.400000,7.350000,7.380000,6.910837,645
2016-09-06,7.350000,7.400000,7.350000,7.400000,6.929566,2788
2016-09-07,7.400000,7.450000,7.390000,7.400000,6.929566,10896
2016-09-08,7.400000,7.400000,7.350000,7.350000,6.882744,3498
2016-09-09,7.350000,7.350000,7.320000,7.340000,6.873380,1141
2016-09-12,7.320000,7.340000,7.260000,7.330000,6.864016,7138
2016-09-13,7.300000,7.300000,7.290000,7.290000,6.826559,1016
2016-09-14,7.300000,7.340000,7.300000,7.340000,6.873380,1826
2016-09-15,7.300000,7.340000,7.290000,7.300000,6.835924,287
2016-09-16,7.300000,7.300000,7.290000,7.300000,6.835924,1111
2016-09-19,7.290000,7.300000,7.290000,7.300000,6.835924,1025
2016-09-20,7.300000,7.300000,7.300000,7.300000,6.835924,404
2016-09-21,7.300000,7.330000,7.300000,7.330000,6.864016,1186
2016-09-22,7.320000,7.350000,7.300000,7.350000,6.882744,4017
2016-09-23,7.350000,7.350000,7.350000,7.350000,6.882744,246
2016-09-26,7.300000,7.360000,7.300000,7.300000,6.835924,886
2016-09-27,7.300000,7.300000,7.290000,7.300000,6.835924,481
2016-09-28,7.260000,7.400000,7.260000,7.400000,6.929566,2909
2016-09-29,7.390000,7.400000,7.390000,7.400000,6.929566,291
2016-09-30,7.390000,7.390000,7.300000,7.350000,6.882744,1073
2016-10-03,7.350000,7.350000,7.320000,7.350000,6.882744,1186
2016-10-04,7.350000,7.410000,7.350000,7.410000,6.938930,1341
2016-10-05,7.400000,7.410000,7.350000,7.350000,6.882744,525
2016-10-06,7.350000,7.410000,7.350000,7.400000,6.929566,1298
2016-10-07,7.410000,7.410000,7.360000,7.400000,6.929566,613
2016-10-10,7.400000,7.400000,7.260000,7.300000,6.835924,3332
2016-10-11,7.300000,7.350000,7.300000,7.350000,6.882744,612
2016-10-12,7.350000,7.350000,7.280000,7.300000,6.835924,3971
2016-10-13,7.300000,7.330000,7.300000,7.320000,6.854652,892
2016-10-14,7.280000,7.360000,7.280000,7.300000,6.835924,4914
2016-10-17,7.310000,7.470000,7.300000,7.350000,6.882744,8164
2016-10-18,7.390000,7.390000,7.350000,7.390000,6.920201,1663
2016-10-19,7.390000,7.550000,7.390000,7.500000,7.023209,14422
2016-10-20,7.550000,7.550000,7.490000,7.500000,7.023209,3900
2016-10-21,7.500000,7.500000,7.450000,7.500000,7.023209,1523
2016-10-24,7.590000,7.600000,7.500000,7.500000,7.023209,934
2016-10-25,7.600000,7.680000,7.520000,7.680000,7.191765,8131
2016-10-26,7.700000,7.700000,7.600000,7.650000,7.163673,3818
2016-10-27,7.580000,7.640000,7.580000,7.600000,7.116851,2972
2016-10-28,7.570000,8.170000,7.570000,8.000000,7.491422,66378
2016-10-31,8.010000,8.250000,8.000000,8.210000,7.688073,17532
2016-11-01,8.210000,8.220000,8.100000,8.150000,7.631886,2056
2016-11-02,8.150000,8.150000,8.000000,8.130000,7.613158,1155
2016-11-03,8.100000,8.100000,8.000000,8.050000,7.538244,2725
2016-11-04,8.000000,8.100000,8.000000,8.040000,7.528879,1650
2016-11-07,8.050000,8.050000,8.000000,8.000000,7.491422,2105
2016-11-08,8.000000,8.200000,8.000000,8.150000,7.631886,2871
2016-11-09,8.010000,8.200000,8.000000,8.170000,7.650615,9848
2016-11-10,8.170000,8.340000,8.090000,8.340000,7.809808,9593
2016-11-11,8.340000,8.590000,8.200000,8.450000,7.912815,10711
2016-11-14,8.550000,8.550000,8.460000,8.550000,8.006457,6530
2016-11-15,8.550000,8.550000,8.500000,8.530000,7.987729,1238
2016-11-16,8.550000,8.800000,8.550000,8.600000,8.053279,15719
2016-11-17,8.980000,8.980000,8.700000,8.800000,8.240565,2529
2016-11-18,8.850000,9.000000,8.800000,8.910000,8.343572,5753
2016-11-21,8.950000,9.100000,8.950000,9.000000,8.427851,6740
2016-11-22,9.050000,9.050000,8.950000,9.000000,8.427851,3066
2016-11-23,9.040000,9.040000,8.920000,8.920000,8.352936,3258
2016-11-24,8.920000,8.920000,8.600000,8.780000,8.221836,13597
2016-11-25,8.780000,9.040000,8.780000,9.000000,8.427851,9143
2016-11-28,9.000000,9.000000,9.000000,9.000000,8.427851,2047
2016-11-29,9.030000,9.040000,9.000000,9.020000,8.446579,1953
2016-11-30,9.030000,9.040000,9.020000,9.040000,8.465308,920
2016-12-01,9.050000,9.100000,9.040000,9.050000,8.474672,5674
2016-12-02,9.050000,9.200000,9.050000,9.180000,8.596408,2364
2016-12-05,9.100000,9.100000,9.050000,9.100000,8.521493,3020
2016-12-06,9.050000,9.070000,9.030000,9.070000,8.493400,3296
2016-12-07,9.070000,9.100000,9.060000,9.100000,8.521493,4571
2016-12-08,9.100000,9.100000,9.000000,9.100000,8.521493,5596
2016-12-09,9.100000,9.200000,9.090000,9.090000,8.512129,3058
2016-12-12,9.250000,9.250000,9.200000,9.200000,8.615135,5639
2016-12-13,9.200000,9.200000,9.100000,9.100000,8.521493,1289
2016-12-14,9.090000,9.100000,8.950000,9.000000,8.427851,5322
2016-12-15,9.000000,9.100000,9.000000,9.100000,8.521493,3394
2016-12-16,9.190000,9.200000,9.010000,9.110000,8.530856,2656
2016-12-19,9.200000,9.200000,9.050000,9.050000,8.474672,2222
2016-12-20,9.180000,9.730000,9.100000,9.500000,8.896065,19188
2016-12-21,9.400000,10.000000,9.400000,9.850000,9.223815,12480
2016-12-22,9.800000,9.800000,9.500000,9.750000,9.130171,5280
2016-12-23,9.500000,9.500000,9.240000,9.350000,8.755601,7822
2016-12-27,9.370000,9.600000,9.370000,9.500000,8.896065,4185
2016-12-28,9.550000,9.600000,9.500000,9.550000,8.942885,1897
2016-12-29,9.600000,9.750000,9.550000,9.550000,8.942885,6992
2016-12-30,9.600000,9.750000,9.500000,9.740000,9.120807,6258
2017-01-03,9.800000,9.880000,9.750000,9.850000,9.223815,4238
2017-01-04,9.800000,9.890000,9.750000,9.890000,9.261271,3859
2017-01-05,9.990000,9.990000,9.850000,9.900000,9.270635,4873
2017-01-06,9.900000,10.000000,9.900000,9.970000,9.336185,6446
2017-01-09,9.990000,9.990000,9.610000,9.630000,9.017800,8849
2017-01-10,9.610000,9.700000,9.450000,9.590000,8.980343,7943
2017-01-11,9.450000,9.690000,9.450000,9.600000,8.989707,5048
2017-01-12,9.650000,9.650000,9.500000,9.600000,8.989707,5192
2017-01-13,9.590000,9.690000,9.550000,9.600000,8.989707,5211
2017-01-16,9.550000,9.680000,9.550000,9.610000,8.999070,1392
2017-01-17,9.550000,9.550000,9.400000,9.500000,8.896065,5185
2017-01-18,9.420000,9.500000,9.400000,9.400000,8.802422,4626
2017-01-19,9.450000,9.500000,9.400000,9.480000,8.877336,4025
2017-01-20,9.480000,9.510000,9.450000,9.470000,8.867971,2181
2017-01-23,9.370000,9.470000,9.370000,9.410000,8.811785,1909
2017-01-24,9.410000,9.450000,9.410000,9.420000,8.821150,2093
2017-01-25,9.450000,9.450000,9.410000,9.410000,8.811785,3437
2017-01-26,9.440000,9.440000,9.400000,9.400000,8.802422,816
2017-01-27,9.440000,9.440000,9.390000,9.420000,8.821150,1954
2017-01-30,9.420000,9.420000,9.400000,9.400000,8.802422,2143
2017-01-31,9.370000,9.370000,9.200000,9.300000,8.708778,5801
2017-02-01,9.210000,9.300000,9.200000,9.210000,8.624500,4268
2017-02-02,9.200000,9.440000,9.160000,9.440000,8.839878,4891
2017-02-03,9.450000,9.600000,9.440000,9.550000,8.942885,9683
2017-02-06,9.550000,9.990000,9.550000,9.650000,9.036528,7135
2017-02-07,9.850000,9.850000,9.700000,9.850000,9.223815,5702
2017-02-08,9.850000,9.850000,9.670000,9.750000,9.130171,6699
2017-02-09,9.750000,9.750000,9.670000,9.680000,9.064621,2661
2017-02-10,9.750000,9.750000,9.500000,9.500000,8.896065,3100
2017-02-13,9.600000,9.620000,9.470000,9.590000,8.980343,11431
2017-02-14,9.580000,9.590000,9.500000,9.500000,8.896065,6096
2017-02-15,9.680000,9.680000,9.480000,9.500000,8.896065,2361
2017-02-16,9.600000,9.650000,9.550000,9.560000,8.952250,746
2017-02-17,9.590000,9.640000,9.500000,9.500000,8.896065,32874
2017-02-20,9.500000,9.630000,9.450000,9.630000,9.017800,5304
2017-02-21,9.500000,9.510000,9.500000,9.510000,8.905429,130
2017-02-22,9.590000,9.600000,9.500000,9.500000,8.896065,4201
2017-02-23,9.510000,9.510000,9.510000,9.510000,8.905429,966
2017-02-27,9.510000,9.650000,9.510000,9.600000,8.989707,5194
2017-02-28,9.600000,9.650000,9.600000,9.600000,8.989707,5917
2017-03-01,9.620000,9.650000,9.600000,9.650000,9.036528,2073
2017-03-02,9.620000,9.620000,9.600000,9.620000,9.008436,520
2017-03-03,9.620000,9.660000,9.600000,9.600000,8.989707,922
2017-03-06,9.600000,9.640000,9.550000,9.600000,8.989707,6792
2017-03-07,9.600000,9.600000,9.560000,9.590000,8.980343,6983
2017-03-08,9.600000,9.600000,9.600000,9.600000,8.989707,3966
2017-03-09,9.600000,9.600000,9.560000,9.590000,8.980343,791
2017-03-10,9.620000,9.620000,9.600000,9.600000,8.989707,2160
2017-03-13,9.650000,9.650000,9.560000,9.600000,8.989707,4931
2017-03-14,9.670000,9.690000,9.550000,9.550000,8.942885,1832
2017-03-15,9.600000,9.600000,9.580000,9.580000,8.970979,160
2017-03-16,9.800000,9.800000,9.560000,9.790000,9.167627,4227
2017-03-17,9.700000,9.700000,9.700000,9.700000,9.083349,612
2017-03-20,9.700000,9.750000,9.600000,9.610000,8.999070,413
2017-03-21,9.700000,9.700000,9.570000,9.600000,8.989707,3342
2017-03-22,9.690000,9.690000,9.570000,9.600000,8.989707,4161
2017-03-23,9.600000,9.600000,9.550000,9.550000,8.942885,867
2017-03-24,9.550000,9.650000,9.520000,9.520000,8.914793,1292
2017-03-27,9.650000,9.650000,9.550000,9.560000,8.952250,1270
2017-03-28,9.560000,9.600000,9.550000,9.600000,8.989707,800
2017-03-29,9.600000,9.600000,9.560000,9.560000,8.952250,233
2017-03-30,9.600000,9.600000,9.540000,9.550000,8.942885,2687
2017-03-31,9.550000,9.550000,9.460000,9.500000,8.896065,7462
2017-04-03,9.540000,9.540000,9.540000,9.540000,8.933521,46
2017-04-04,9.580000,9.580000,9.540000,9.550000,8.942885,601
2017-04-05,9.570000,9.570000,9.530000,9.530000,8.924156,637
2017-04-06,9.530000,9.530000,9.460000,9.490000,8.886700,2814
2017-04-07,9.500000,9.500000,9.450000,9.490000,8.886700,909
2017-04-10,9.490000,9.490000,9.460000,9.490000,9.029420,1998
2017-04-11,9.400000,9.400000,9.300000,9.380000,9.068090,2981
2017-04-12,9.390000,9.390000,9.300000,9.390000,9.077758,2084
2017-04-13,9.380000,9.390000,9.290000,9.350000,9.039088,12798
2017-04-18,9.350000,9.500000,9.350000,9.500000,9.184099,6758
2017-04-19,9.500000,9.530000,9.420000,9.530000,9.213102,5297
2017-04-20,9.530000,9.530000,9.390000,9.430000,9.116428,7523
2017-04-21,9.420000,9.450000,9.420000,9.450000,9.135762,11870
